#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Acalyptratae	no	23	0	0	0	0	0
Acaroidea	no	0	0	0	0	0	0
Accipitridae	no	0	0	0	0	0	0
Accipitriformes	no	0	0	0	0	0	0
Achelata	no	1	0	0	0	0	0
Acraea	no	2	0	0	0	0	0
Acrididae	no	7	0	0	0	0	0
Acridomorpha	no	1	0	0	0	0	0
Acrodonta	no	0	0	0	0	0	0
Adephaga	no	5	0	0	0	0	0
Afrotheria	no	1	0	0	0	0	0
Aleocharinae	no	1	0	0	0	0	0
Aleyrodoidea	no	0	0	0	0	0	0
Alpheoidea	no	0	0	0	0	0	0
Ambystoma	no	0	0	0	0	0	0
Americhelydia	no	0	0	0	0	0	0
Amphisbaenia	no	0	0	0	0	0	0
Anareolatae	no	0	0	0	0	0	0
Anatidae	no	0	0	0	0	0	0
Anguimorpha	no	0	0	0	0	0	0
Anomaluromorpha	no	3	0	0	0	0	0
Anomopoda	no	0	0	0	0	0	0
Anopheles	no	26	0	0	0	0	0
Anostraca	no	0	0	0	0	0	0
Anura	no	0	0	0	0	0	0
Aphidinae	no	2	0	0	0	0	0
Aphidomorpha	no	1	0	0	0	0	0
Apidae	no	0	0	0	0	0	0
Apocrita	no	0	0	0	0	0	0
Apodiformes	no	0	0	0	0	0	0
Apoditrysia	no	1	0	0	0	0	0
Arachnida	no	0	0	0	0	0	0
Aradidae	no	0	0	0	0	0	0
Araneae	no	0	0	0	0	0	0
Archaeognatha	no	0	0	0	0	0	0
Arctiinae	yes	1342	0.109894	0.0990885	0.121801	0.0932368	0.129208	
Argasidae	no	0	0	0	0	0	0
Astacidea	no	0	0	0	0	0	0
Astigmata	no	0	0	0	0	0	0
Athyma	no	3	0	0	0	0	0
Atkinsoniella	no	0	0	0	0	0	0
Atyoidea	no	0	0	0	0	0	0
Azeliinae	no	24	0	0	0	0	0
Bactrocera	no	2	0	0	0	0	0
Balanomorpha	no	0	0	0	0	0	0
Bifurcata	no	1	0	0	0	0	0
Blattodea	no	0	0	0	0	0	0
Bombycidae	no	2	0	0	0	0	0
Bostrichiformia	no	3	0	0	0	0	0
Bovidae	yes	145	0.0118864	0.0106008	0.0132781	0.0099014	0.0142151	
Braconidae	no	0	0	0	0	0	0
Bucerotiformes	no	0	0	0	0	0	0
Buprestidae	no	1	0	0	0	0	0
Calliphoridae	no	24	0	0	0	0	0
Callosciurinae	no	3	0	0	0	0	0
Calopterygoidea	no	0	0	0	0	0	0
Calyptratae	yes	4271	0.349891	0.324534	0.375677	0.310232	0.390935	
Canidae	no	8	0	0	0	0	0
Caniformia	no	4	0	0	0	0	0
Carabinae	no	0	0	0	0	0	0
Cardinalidae	no	0	0	0	0	0	0
Caridea	no	0	0	0	0	0	0
Carnivora	no	8	0	0	0	0	0
Caudata	no	0	0	0	0	0	0
Cavilabiata	no	1	0	0	0	0	0
Cephalophus	no	3	0	0	0	0	0
Cerambycinae	no	3	0	0	0	0	0
Cercopithecidae	no	0	0	0	0	0	0
Cervus	no	1	0	0	0	0	0
Cetacea	no	2	0	0	0	0	0
Charadriiformes	no	0	0	0	0	0	0
Chelodina	no	0	0	0	0	0	0
Chelonoidis	no	0	0	0	0	0	0
Cherax	no	0	0	0	0	0	0
Chironominae	no	2	0	0	0	0	0
Chrysomus	no	0	0	0	0	0	0
Cicadettinae	no	0	0	0	0	0	0
Cimicomorpha	no	0	0	0	0	0	0
Cingulata	no	0	0	0	0	0	0
Coccinellinae	no	0	0	0	0	0	0
Coenagrionoidea	no	0	0	0	0	0	0
Coleoptera	no	0	0	0	0	0	0
Colubridae	no	7	0	0	0	0	0
Colubroidea	yes	875	0.0715431	0.0643557	0.0797435	0.060225	0.0847657	
Coptotermes	no	0	0	0	0	0	0
Coraciiformes	no	0	0	0	0	0	0
Coreidae	no	1	0	0	0	0	0
Coronuloidea	no	0	0	0	0	0	0
Corvoidea	no	1	0	0	0	0	0
