#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Acalyptratae	no	18	0	0	0	0	0
Acaroidea	no	0	0	0	0	0	0
Accipitridae	no	0	0	0	0	0	0
Accipitriformes	no	0	0	0	0	0	0
Achelata	no	0	0	0	0	0	0
Acraea	no	2	0	0	0	0	0
Acrididae	no	10	0	0	0	0	0
Acridomorpha	no	3	0	0	0	0	0
Acrodonta	no	0	0	0	0	0	0
Adephaga	no	6	0	0	0	0	0
Afrotheria	no	0	0	0	0	0	0
Aleocharinae	no	1	0	0	0	0	0
Aleyrodoidea	no	0	0	0	0	0	0
Alpheoidea	no	0	0	0	0	0	0
Ambystoma	no	1	0	0	0	0	0
Americhelydia	no	0	0	0	0	0	0
Amphisbaenia	no	0	0	0	0	0	0
Anareolatae	no	0	0	0	0	0	0
Anatidae	no	0	0	0	0	0	0
Anguimorpha	no	0	0	0	0	0	0
Anomaluromorpha	no	3	0	0	0	0	0
Anomopoda	no	0	0	0	0	0	0
Anopheles	no	19	0	0	0	0	0
Anostraca	no	0	0	0	0	0	0
Anura	no	0	0	0	0	0	0
Aphidinae	no	2	0	0	0	0	0
Aphidomorpha	no	1	0	0	0	0	0
Apidae	no	1	0	0	0	0	0
Apocrita	no	0	0	0	0	0	0
Apodiformes	no	0	0	0	0	0	0
Apoditrysia	no	1	0	0	0	0	0
Arachnida	no	0	0	0	0	0	0
Aradidae	no	0	0	0	0	0	0
Araneae	no	0	0	0	0	0	0
Archaeognatha	no	0	0	0	0	0	0
Arctiinae	yes	1712	0.107163	0.096637	0.118677	0.0908874	0.125656	
Argasidae	no	0	0	0	0	0	0
Astacidea	no	0	0	0	0	0	0
Astigmata	no	0	0	0	0	0	0
Athyma	no	3	0	0	0	0	0
Atkinsoniella	no	0	0	0	0	0	0
Atyoidea	no	0	0	0	0	0	0
Azeliinae	no	27	0	0	0	0	0
Bactrocera	no	1	0	0	0	0	0
Balanomorpha	no	0	0	0	0	0	0
Bifurcata	no	0	0	0	0	0	0
Blattodea	no	0	0	0	0	0	0
Bombycidae	no	2	0	0	0	0	0
Bostrichiformia	no	3	0	0	0	0	0
Bovidae	yes	195	0.0122272	0.0109205	0.0136828	0.0102064	0.0145489	
Braconidae	no	1	0	0	0	0	0
Bucerotiformes	no	0	0	0	0	0	0
Buprestidae	no	1	0	0	0	0	0
Calliphoridae	no	28	0	0	0	0	0
Callosciurinae	no	2	0	0	0	0	0
Calopterygoidea	no	0	0	0	0	0	0
Calyptratae	yes	5505	0.344821	0.31971	0.370452	0.305826	0.38594	
Canidae	no	10	0	0	0	0	0
Caniformia	no	7	0	0	0	0	0
Carabinae	no	0	0	0	0	0	0
Cardinalidae	no	0	0	0	0	0	0
Caridea	no	0	0	0	0	0	0
Carnivora	no	11	0	0	0	0	0
Caudata	no	0	0	0	0	0	0
Cavilabiata	no	4	0	0	0	0	0
Cephalophus	no	2	0	0	0	0	0
Cerambycinae	no	5	0	0	0	0	0
Cercopithecidae	no	0	0	0	0	0	0
Cervus	no	0	0	0	0	0	0
Cetacea	no	2	0	0	0	0	0
Charadriiformes	no	0	0	0	0	0	0
Chelodina	no	1	0	0	0	0	0
Chelonoidis	no	0	0	0	0	0	0
Cherax	no	0	0	0	0	0	0
Chironominae	no	2	0	0	0	0	0
Chrysomus	no	0	0	0	0	0	0
Cicadettinae	no	0	0	0	0	0	0
Cimicomorpha	no	1	0	0	0	0	0
Cingulata	no	0	0	0	0	0	0
Coccinellinae	no	0	0	0	0	0	0
Coenagrionoidea	no	0	0	0	0	0	0
Coleoptera	no	1	0	0	0	0	0
Colubridae	no	11	0	0	0	0	0
Colubroidea	yes	1161	0.0726583	0.065454	0.0805872	0.0614768	0.0858025	
Coptotermes	no	0	0	0	0	0	0
Coraciiformes	no	0	0	0	0	0	0
Coreidae	no	0	0	0	0	0	0
Coronuloidea	no	0	0	0	0	0	0
Corvoidea	no	0	0	0	0	0	0
Corvus	no	0	0	0	0	0	0
Cossoidea	no	5	0	0	0	0	0
Crambidae	no	14	0	0	0	0	0
Crangonyctoidea	no	0	0	0	0	0	0
Cricetidae	no	12	0	0	0	0	0
Crocidura	no	0	0	0	0	0	0
Crocodylia	no	0	0	0	0	0	0
Crocodylus	no	0	0	0	0	0	0
Cryptodira	no	2	0	0	0	0	0
Cryptorhynchinae	yes	275	0.0171983	0.0153551	0.0191949	0.0143663	0.0205383	
Cucujiformia	no	9	0	0	0	0	0
Cucujoidea	no	9	0	0	0	0	0
Cuculiformes	no	0	0	0	0	0	0
Culex	no	8	0	0	0	0	0
Culicinae	no	14	0	0	0	0	0
Culicomorpha	no	2	0	0	0	0	0
Darevskia	no	0	0	0	0	0	0
Dermacentor	no	1	0	0	0	0	0
Didelphidae	no	0	0	0	0	0	0
Dionycha	no	0	0	0	0	0	0
Dipodidae	no	0	0	0	0	0	0
Diprotodontia	no	0	0	0	0	0	0
Ditrysia	no	11	0	0	0	0	0
Dolichopodidae	no	0	0	0	0	0	0
Emberiza	no	0	0	0	0	0	0
Empidoidea	no	5	0	0	0	0	0
Endopterygota	no	0	0	0	0	0	0
Epeorus	no	0	0	0	0	0	0
Epiprocta	no	0	0	0	0	0	0
Equus	no	1	0	0	0	0	0
Eremias	no	0	0	0	0	0	0
Eulipotyphla	no	4	0	0	0	0	0
Eumantodea	no	0	0	0	0	0	0
Felidae	no	1	0	0	0	0	0
Folivora	no	0	0	0	0	0	0
Fordinae	no	0	0	0	0	0	0
Formicidae	no	0	0	0	0	0	0
Fulgoroidea	no	1	0	0	0	0	0
Galliformes	no	0	0	0	0	0	0
Galloanserae	no	0	0	0	0	0	0
Garrulax	no	0	0	0	0	0	0
Gebiidea	no	1	0	0	0	0	0
Gekkonidae	no	0	0	0	0	0	0
Geometridae	no	12	0	0	0	0	0
Glires	no	3	0	0	0	0	0
Gonodactyloidea	no	0	0	0	0	0	0
Grapsoidea	no	0	0	0	0	0	0
Gruiformes	no	0	0	0	0	0	0
Grus	no	0	0	0	0	0	0
Gryllidea	no	3	0	0	0	0	0
Gymnophiona	no	1	0	0	0	0	0
Hadziida	no	0	0	0	0	0	0
Haemaphysalis	no	0	0	0	0	0	0
Harpalinae	no	6	0	0	0	0	0
Henophidia	no	1	0	0	0	0	0
Hepialoidea	no	1	0	0	0	0	0
Hesperiidae	no	10	0	0	0	0	0
Heterotermes	no	0	0	0	0	0	0
Heterotremata	no	0	0	0	0	0	0
Hippoboscoidea	no	3	0	0	0	0	0
Hirundo	no	0	0	0	0	0	0
Homininae	no	1	0	0	0	0	0
Hominoidea	no	0	0	0	0	0	0
Hydropsychoidea	no	0	0	0	0	0	0
Hymenopodidae	no	0	0	0	0	0	0
Hymenoptera	no	1	0	0	0	0	0
Hynobius	no	0	0	0	0	0	0
Hypsiglena	no	2	0	0	0	0	0
Hystricomorpha	no	2	0	0	0	0	0
Isotomidae	no	0	0	0	0	0	0
Ixodes	no	0	0	0	0	0	0
Junonia	no	1	0	0	0	0	0
Lacertibaenia	no	1	0	0	0	0	0
Lampyridae	yes	3291	0.206108	0.187979	0.225926	0.178393	0.237828	
Lepadoidea	no	0	0	0	0	0	0
Lepilemur	no	0	0	0	0	0	0
Lepus	no	1	0	0	0	0	0
Lethe	no	3	0	0	0	0	0
Limenitidinae	no	3	0	0	0	0	0
Limenitis	no	1	0	0	0	0	0
Lonchura	no	0	0	0	0	0	0
Lorisiformes	no	0	0	0	0	0	0
Lucanidae	no	3	0	0	0	0	0
Luperina	no	0	0	0	0	0	0
Lycaenidae	no	1	0	0	0	0	0
Lycosoidea	yes	681	0.042599	0.0382028	0.0474318	0.0359187	0.0505743	
Macaca	no	0	0	0	0	0	0
Macroglossinae	no	0	0	0	0	0	0
Macrotermes	no	0	0	0	0	0	0
Majoidea	no	0	0	0	0	0	0
Manis	no	0	0	0	0	0	0
Mantidae	no	0	0	0	0	0	0
Martes	no	1	0	0	0	0	0
Megachiroptera	no	1	0	0	0	0	0
Meliphagoidea	no	0	0	0	0	0	0
Merostomata	no	0	0	0	0	0	0
Metatheria	no	1	0	0	0	0	0
Microcebus	no	1	0	0	0	0	0
Microchiroptera	no	14	0	0	0	0	0
Microhylidae	no	1	0	0	0	0	0
Microtus	no	1	0	0	0	0	0
Muridae	no	52	0	0	0	0	0
Mus	yes	278	0.0173691	0.015584	0.0194281	0.0146	0.0208427	
Muscicapidae	no	1	0	0	0	0	0
Mustela	no	0	0	0	0	0	0
Mustelidae	no	5	0	0	0	0	0
Myomorpha	no	4	0	0	0	0	0
Myotis	yes	442	0.0276684	0.0246873	0.0308741	0.0230888	0.0330529	
Myrmeleontidae	no	1	0	0	0	0	0
Myrmicinae	no	0	0	0	0	0	0
Nasutitermes	no	0	0	0	0	0	0
Nematocera	no	0	0	0	0	0	0
Nemouridae	no	0	0	0	0	0	0
Neobatrachia	no	0	0	0	0	0	0
Neognathae	no	72	0	0	0	0	0
Nesophrosyne	no	0	0	0	0	0	0
Neuropterida	no	9	0	0	0	0	0
Noctuidae	no	24	0	0	0	0	0
Nolidae	no	7	0	0	0	0	0
Notodontidae	no	5	0	0	0	0	0
Notostraca	no	0	0	0	0	0	0
Nymphalinae	no	1	0	0	0	0	0
Obtectomera	no	12	0	0	0	0	0
Ochthebius	no	5	0	0	0	0	0
Ocypodidae	no	0	0	0	0	0	0
Odontoceti	no	2	0	0	0	0	0
Oestroidea	no	21	0	0	0	0	0
Olethreutinae	no	2	0	0	0	0	0
Orbiculariae	no	11	0	0	0	0	0
Orconectes	no	0	0	0	0	0	0
Ornithodoros	no	0	0	0	0	0	0
Otariidae	no	0	0	0	0	0	0
Paguroidea	no	0	0	0	0	0	0
Palaemonoidea	no	0	0	0	0	0	0
Palaeognathae	no	0	0	0	0	0	0
Pamphagidae	no	0	0	0	0	0	0
Panheteroptera	no	0	0	0	0	0	0
Pannota	no	0	0	0	0	0	0
Papilio	no	3	0	0	0	0	0
Papilionidae	no	1	0	0	0	0	0
Papilioninae	no	1	0	0	0	0	0
Papilionoidea	no	20	0	0	0	0	0
Parastacoidea	no	0	0	0	0	0	0
Paridae	no	0	0	0	0	0	0
Parnassiinae	no	2	0	0	0	0	0
Passeriformes	no	0	0	0	0	0	0
Passeroidea	no	0	0	0	0	0	0
Pecora	no	8	0	0	0	0	0
Pelecaniformes	no	1	0	0	0	0	0
Penaeoidea	no	0	0	0	0	0	0
Pentastomida	no	0	0	0	0	0	0
Pentatomomorpha	no	2	0	0	0	0	0
Perissodactyla	no	1	0	0	0	0	0
Perlidae	no	0	0	0	0	0	0
Petroicidae	no	0	0	0	0	0	0
