euka_corrected_full_j_0.0_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1893	0.101707	0.0917424	0.112567	0.0862388	0.119661	
Bovidae	yes	282	0.015119	0.0135258	0.0168852	0.0126758	0.0179696	
Calyptratae	yes	6149	0.330632	0.306115	0.356227	0.292066	0.371262	
Colubroidea	yes	1391	0.07454	0.0671372	0.0828898	0.0629848	0.0881254	
Cryptorhynchinae	yes	258	0.0138393	0.0123582	0.0154829	0.0115992	0.0164831	
Lampyridae	yes	3531	0.189634	0.172568	0.208043	0.163191	0.219287	
Lycosoidea	yes	737	0.0394877	0.0353848	0.0440459	0.0331468	0.0471132	
Muridae	yes	104	0.00559017	0.00500079	0.00624283	0.00469213	0.00667444	
Mus	yes	339	0.0181792	0.016264	0.0203297	0.0153012	0.021628	
Myotis	yes	575	0.0308857	0.0276489	0.0343606	0.0258715	0.0368356	
Neognathae	yes	103	0.00552504	0.00494939	0.00619154	0.00463115	0.00659774	
Rattus	yes	728	0.0390719	0.0349084	0.0435585	0.0327384	0.0462763	
Sciurinae	yes	134	0.00717984	0.00642513	0.00804742	0.0060322	0.00855992	
Ursidae	yes	2099	0.112792	0.101774	0.124616	0.0960334	0.131973	
Xerinae	yes	230	0.0123565	0.0110659	0.0138278	0.0103504	0.0147403

euka_corrected_full_j_0.1_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1856	0.106734	0.0964941	0.118354	0.0909611	0.125566	
Bovidae	yes	231	0.0133015	0.011895	0.0148762	0.0111381	0.0159108	
Calyptratae	yes	5983	0.345088	0.320419	0.37063	0.306644	0.385967	
Colubroidea	yes	1285	0.0738746	0.0665668	0.0822197	0.0624253	0.0875305	
Cryptorhynchinae	yes	253	0.0145735	0.0130421	0.01627	0.0121981	0.0173663	
Lampyridae	yes	3453	0.198947	0.181246	0.218214	0.171291	0.229925	
Lycosoidea	yes	724	0.0416137	0.0373511	0.046415	0.0350067	0.0493749	
Mus	yes	314	0.0181135	0.0161881	0.0201874	0.0151689	0.0215356	
Myotis	yes	508	0.0292326	0.02621	0.0326303	0.0246006	0.0349602	
Rattus	yes	650	0.0374321	0.0336225	0.0417911	0.031485	0.0444739	
Ursidae	yes	1818	0.104889	0.0945787	0.116075	0.088677	0.122982	
Xerinae	yes	223	0.0128409	0.011458	0.0143394	0.0106971	0.0153749

euka_corrected_full_j_0.2_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1857	0.107314	0.0968869	0.118908	0.090896	0.12611	
Bovidae	yes	226	0.0130586	0.0116746	0.0146213	0.0109102	0.0156129	
Calyptratae	yes	5969	0.344916	0.320146	0.370619	0.306946	0.385192	
Colubroidea	yes	1279	0.0739285	0.0665333	0.0820657	0.0624577	0.0873479	
Cryptorhynchinae	yes	252	0.014576	0.0130084	0.0162392	0.0122194	0.0173233	
Lampyridae	yes	3452	0.199487	0.18188	0.218606	0.171804	0.229758	
Lycosoidea	yes	724	0.0418233	0.0373954	0.0466091	0.0350848	0.0495322	
Mus	yes	316	0.0182506	0.0163159	0.0203789	0.0152384	0.0218185	
Myotis	yes	503	0.0290501	0.0259972	0.0324428	0.0243846	0.0346643	
Rattus	yes	641	0.0369355	0.0330188	0.0413516	0.0310591	0.0439447	
Ursidae	yes	1811	0.104804	0.0944308	0.116103	0.0889615	0.123044	
Xerinae	yes	223	0.0128887	0.0115179	0.0144088	0.0107486	0.0153865

euka_corrected_full_j_0.3_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1857	0.106918	0.0965182	0.118643	0.0908246	0.126006	
Bovidae	yes	226	0.0130357	0.011661	0.0145728	0.0108994	0.0155817	
Calyptratae	yes	5969	0.345524	0.320443	0.370661	0.305761	0.387173	
Colubroidea	yes	1279	0.0738316	0.0664205	0.0819881	0.0621235	0.0871978	
Cryptorhynchinae	yes	252	0.0145665	0.0130237	0.0162787	0.0121962	0.0173988	
Lampyridae	yes	3452	0.199331	0.181795	0.218414	0.171892	0.229814	
Lycosoidea	yes	724	0.0417835	0.0374356	0.0466256	0.0351584	0.049609	
Mus	yes	316	0.0182629	0.0163362	0.0204136	0.0152931	0.0218159	
Myotis	yes	503	0.0291222	0.0259923	0.0324741	0.0243856	0.0345619	
Rattus	yes	641	0.0370767	0.0332883	0.0413711	0.0312553	0.0440839	
Ursidae	yes	1811	0.104802	0.0945268	0.115937	0.088471	0.122854	
Xerinae	yes	223	0.0128823	0.0115167	0.0143926	0.0107965	0.0153618

euka_corrected_full_j_0.4_detected.tsv
#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Arctiinae	yes	1854	0.107554	0.0969927	0.119132	0.0911346	0.126073	
Bovidae	yes	224	0.0129876	0.0116204	0.0145502	0.0108616	0.0155149	
Calyptratae	yes	5940	0.345639	0.320258	0.371326	0.305908	0.386631	
Colubroidea	yes	1265	0.0734563	0.066209	0.0815493	0.0623007	0.08706	
Cryptorhynchinae	yes	252	0.014654	0.0130718	0.016351	0.0122603	0.0174147	
Lampyridae	yes	3445	0.200554	0.182791	0.219634	0.172959	0.230889	
Lycosoidea	yes	723	0.0419926	0.0376496	0.0469297	0.0353179	0.0500066	
Mus	yes	315	0.0182811	0.0163159	0.0204235	0.015276	0.0217562	
Myotis	yes	494	0.0287007	0.0257335	0.0321012	0.0241292	0.0342262	
