Damage_Type,Aligner_Name,Sequence Length,Subsampling_Rate,TP,FP,TN,FN,TP_MQ30,FP_MQ30,TN_MQ30,FN_MQ30
dhigh,aln_anc,30,0.15,1269,28,15708,2,1269,23,15708,2
dhigh,aln,30,0.15,1269,22,15714,2,1269,20,15714,2
dhigh,bb,30,0.15,1269,141,15595,2,1267,23,15595,2
dhigh,bowtie2,30,0.15,1267,24,15711,4,1267,11,15711,4
dhigh,mem,30,0.15,1269,67,15669,2,1269,64,15669,2
dhigh,shrimp,30,0.15,1269,216,15520,2,1269,216,15520,2
dhigh,aln_anc,30,0.1,848,15,10527,2,848,11,10527,2
dhigh,aln,30,0.1,848,10,10532,2,848,8,10532,2
dhigh,bb,30,0.1,848,96,10446,2,846,11,10446,2
dhigh,bowtie2,30,0.1,848,11,10531,2,848,4,10531,2
dhigh,mem,30,0.1,848,41,10501,2,848,39,10501,2
dhigh,shrimp,30,0.1,848,146,10396,2,848,146,10396,2
dhigh,aln_anc,30,0.25,2137,66,26218,3,2137,47,26218,3
dhigh,aln,30,0.25,2137,49,26235,3,2137,39,26235,3
dhigh,bb,30,0.25,2137,240,26044,3,2135,47,26044,3
dhigh,bowtie2,30,0.25,2137,45,26239,3,2137,24,26239,3
dhigh,mem,30,0.25,2137,122,26162,3,2137,118,26162,3
dhigh,shrimp,30,0.25,2137,364,25920,3,2137,364,25920,3
dhigh,aln_anc,30,0.2,1686,49,20901,3,1686,39,20901,3
dhigh,aln,30,0.2,1686,39,20911,3,1686,33,20911,3
dhigh,bb,30,0.2,1686,192,20758,3,1684,38,20758,3
dhigh,bowtie2,30,0.2,1684,33,20916,5,1684,21,20916,5
dhigh,mem,30,0.2,1686,98,20852,3,1686,94,20852,3
dhigh,shrimp,30,0.2,1686,297,20653,3,1686,297,20653,3
dhigh,aln_anc,30,0.35,2899,90,36696,3,2899,64,36696,3
dhigh,aln,30,0.35,2899,69,36717,3,2899,51,36717,3
dhigh,bb,30,0.35,2899,333,36453,3,2897,65,36453,3
dhigh,bowtie2,30,0.35,2899,58,36728,3,2899,34,36728,3
dhigh,mem,30,0.35,2899,168,36618,3,2899,162,36618,3
dhigh,shrimp,30,0.35,2899,509,36277,3,2899,509,36277,3
dhigh,aln_anc,30,0.3,2533,78,31337,3,2531,54,31337,3
dhigh,aln,30,0.3,2533,59,31356,3,2531,45,31356,3
dhigh,bb,30,0.3,2533,282,31133,3,2531,55,31133,3
dhigh,bowtie2,30,0.3,2531,51,31363,5,2531,29,31363,5
dhigh,mem,30,0.3,2533,144,31271,3,2533,139,31271,3
dhigh,shrimp,30,0.3,2533,430,30985,3,2533,430,30985,3
dhigh,aln_anc,30,0.45,3791,118,47420,6,3791,85,47420,6
dhigh,aln,30,0.45,3791,92,47446,6,3791,72,47446,6
dhigh,bb,30,0.45,3791,414,47124,6,3788,93,47124,6
dhigh,bowtie2,30,0.45,3788,78,47459,9,3788,46,47459,9
dhigh,mem,30,0.45,3791,213,47325,6,3791,204,47325,6
dhigh,shrimp,30,0.45,3791,645,46893,6,3791,645,46893,6
dhigh,aln_anc,30,0.4,3343,104,41967,5,3343,74,41967,5
dhigh,aln,30,0.4,3343,81,41990,5,3343,61,41990,5
dhigh,bb,30,0.4,3343,369,41702,5,3340,78,41702,5
dhigh,bowtie2,30,0.4,3340,70,42000,8,3340,41,42000,8
dhigh,mem,30,0.4,3343,192,41879,5,3343,185,41879,5
dhigh,shrimp,30,0.4,3343,576,41495,5,3343,576,41495,5
dhigh,aln_anc,30,0.55,4642,143,57990,10,4640,106,57990,10
dhigh,aln,30,0.55,4642,114,58019,10,4640,91,58019,10
dhigh,bb,30,0.55,4643,495,57638,9,4639,115,57638,9
dhigh,bowtie2,30,0.55,4639,91,58041,13,4639,55,58041,13
dhigh,mem,30,0.55,4641,253,57880,11,4641,240,57880,11
dhigh,shrimp,30,0.55,4642,780,57353,10,4642,780,57353,10
dhigh,aln_anc,30,0.5,4208,130,52788,10,4206,95,52788,10
dhigh,aln,30,0.5,4208,102,52816,10,4206,81,52816,10
dhigh,bb,30,0.5,4209,461,52457,9,4205,104,52457,9
dhigh,bowtie2,30,0.5,4208,82,52836,10,4208,50,52836,10
dhigh,mem,30,0.5,4207,232,52686,11,4207,222,52686,11
dhigh,shrimp,30,0.5,4208,721,52197,10,4208,721,52197,10
dhigh,aln_anc,30,0.65,5469,163,68589,10,5465,120,68589,10
dhigh,aln,30,0.65,5469,127,68625,10,5465,100,68625,10
dhigh,bb,30,0.65,5470,583,68169,9,5466,127,68169,9
dhigh,bowtie2,30,0.65,5466,105,68646,13,5466,63,68646,13
dhigh,mem,30,0.65,5468,310,68442,11,5468,288,68442,11
dhigh,shrimp,30,0.65,5469,920,67832,10,5469,920,67832,10
dhigh,aln_anc,30,0.6,5072,150,63244,10,5070,109,63244,10
dhigh,aln,30,0.6,5072,116,63278,10,5070,92,63278,10
dhigh,bb,30,0.6,5073,532,62862,9,5069,116,62862,9
dhigh,bowtie2,30,0.6,5072,101,63293,10,5072,57,63293,10
dhigh,mem,30,0.6,5071,275,63119,11,5071,258,63119,11
single,safari,65,0.65,2844,407,68345,642,2276,357,68345,642
dhigh,shrimp,30,0.6,5072,839,62555,10,5072,839,62555,10
dhigh,aln_anc,30,0.75,6344,184,79039,15,6344,138,79039,15
dhigh,aln,30,0.75,6344,145,79078,15,6344,117,79078,15
dhigh,bb,30,0.75,6347,681,78542,12,6341,146,78542,12
dhigh,bowtie2,30,0.75,6344,118,79105,15,6344,69,79105,15
dhigh,mem,30,0.75,6344,357,78866,15,6344,329,78866,15
dhigh,shrimp,30,0.75,6345,1066,78157,14,6345,1066,78157,14
dhigh,aln_anc,30,0.7,5895,173,73869,13,5895,128,73869,13
