Damage,Tool,F1 Score (All Reads),F1 Score (Mitochondrial Reads)
ddhigh,aln,0.70910,0.01605
ddhigh,aln_anc,0.71244,0.03664
ddhigh,bb,0.71491,0.26747
ddhigh,bowtie2,0.70510,0.01296
ddhigh,giraffe,0.70442,0.06890
ddhigh,mem,0.71100,0.21075
ddhigh,safari,0.71176,0.22932
ddhigh,shrimp,0.71513,0.87445
ddmid,aln,0.71504,0.40420
ddmid,aln_anc,0.71507,0.51686
ddmid,bb,0.71527,0.91807
ddmid,bowtie2,0.71478,0.29525
ddmid,giraffe,0.71383,0.17242
ddmid,mem,0.71509,0.92129
ddmid,safari,0.71469,0.34953
ddmid,shrimp,0.71529,0.95980
dnone,aln,0.71506,0.43210
dnone,aln_anc,0.71507,0.42781
dnone,bb,0.71527,0.91514
dnone,bowtie2,0.71505,0.53378
dnone,giraffe,0.71484,0.71244
dnone,mem,0.71517,0.96127
dnone,safari,0.71489,0.71497
dnone,shrimp,0.71528,0.96755
dsingle,aln,0.71505,0.40413
dsingle,aln_anc,0.71506,0.40695
dsingle,bb,0.71527,0.91002
dsingle,bowtie2,0.71501,0.87276
dsingle,giraffe,0.71468,0.37463
dsingle,mem,0.71515,0.93263
dsingle,safari,0.71487,0.39616
dsingle,shrimp,0.71528,0.96376

