# table produced by mapDamage version 2.2.2
# using mapped file alignments/numtS_and_gen_0_n1000_ddhigh_l40_s0.25_safari.bam and H2a2a1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	53	4
+	42	7
+	49	3
+	54	4
+	66	4
+	64	4
+	40	91
+	65	4
+	35	4
+	52	2
+	47	1
+	69	6
+	56	2
+	45	6
+	37	4
+	46	3
+	57	3
+	61	1
+	36	3
+	38	6
+	39	2
+	55	2
+	62	2
+	48	4
+	67	2
+	59	2
+	60	2
+	58	2
+	51	3
+	43	2
+	63	1
+	41	1
+	50	1
+	68	1
+	71	1
-	47	3
-	52	6
-	51	3
-	64	3
-	44	5
-	61	1
-	45	2
-	41	4
-	43	7
-	63	2
-	69	3
-	56	2
-	39	4
-	36	1
-	55	3
-	38	2
-	62	1
-	67	3
-	57	1
-	37	4
-	65	1
-	66	3
-	42	6
-	40	88
-	58	3
-	54	3
-	50	1
-	68	1
-	49	3
-	46	1
-	59	2
-	53	1
-	35	1
