pos	5pC>T
1	0.247933884297521
2	0.282700421940928
3	0.272030651340996
4	0.257261410788382
5	0.278688524590164
6	0.247899159663866
7	0.304932735426009
8	0.289795918367347
9	0.247933884297521
10	0.208510638297872
11	0.257009345794392
12	0.289915966386555
13	0.275303643724696
14	0.297872340425532
15	0.313953488372093
16	0.290178571428571
17	0.280155642023346
18	0.30672268907563
19	0.223140495867769
20	0.206896551724138
21	0.237885462555066
22	0.242290748898678
23	0.265822784810127
24	0.23015873015873
25	0.251012145748988
