k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
29,11,vg giraffe,High,125,0.15,9143,8,9143,5803,0,14958,0,51,1.0,0.6114083188444563,1.0,0.758849649333942,0.806060808330274,9143,0,15009,5811
29,11,SAFARI,High,125,0.15,10214,9,10214,4731,0,14958,1,50,0.9999021047479197,0.6830279523873212,0.9999333733093477,0.8116333584965634,0.8417715182057871,10214,1,15008,4740
29,11,vg giraffe,High,125,0.1,6095,4,6095,3913,0,10014,0,29,1.0,0.6087694766280464,1.0,0.7568138076612653,0.8046871104462727,6095,0,10043,3917
29,11,SAFARI,High,125,0.1,6835,5,6835,3172,0,10014,1,28,0.9998537156231715,0.6826807830603276,0.9999004281589167,0.8113722697056032,0.8415357766143107,6835,1,10042,3177
29,11,vg giraffe,High,125,0.25,15306,20,15306,9658,0,24988,0,89,1.0,0.6126320845341018,1.0,0.7597915115413254,0.8066758554563432,15306,0,25077,9678
29,11,SAFARI,High,125,0.25,17153,22,17153,7809,0,24988,1,88,0.9999417045587035,0.6865593980147294,0.9999601228217091,0.81413451041815,0.8435508679411119,17153,1,25076,7831
29,11,vg giraffe,High,125,0.2,12200,15,12200,7693,0,19912,0,74,1.0,0.612818967249347,1.0,0.7599352186370998,0.8067879881686469,12200,0,19986,7708
29,11,SAFARI,High,125,0.2,13652,17,13652,6239,0,19912,1,73,0.999926756024317,0.6857544705645972,0.9999499649754828,0.8135633622359287,0.8431593723366922,13652,1,19985,6256
29,11,vg giraffe,High,125,0.35,21371,30,21371,13606,0,35011,0,129,1.0,0.6104779044191162,1.0,0.7581326049168116,0.8056082227322623,21371,0,35140,13636
29,11,SAFARI,High,125,0.35,23933,35,23933,11039,0,35011,3,126,0.9998746657754011,0.6836632673465307,0.9999146272054639,0.8120726803861358,0.8420887564685589,23933,3,35137,11074
29,11,vg giraffe,High,125,0.3,18307,26,18307,11550,0,29886,0,113,1.0,0.612622561322491,1.0,0.7597841875907864,0.8066864834173876,18307,0,29999,11576
29,11,SAFARI,High,125,0.3,20502,30,20502,9351,0,29886,3,110,0.9998536942209217,0.6860756952113242,0.9998999966665556,0.8137651821862348,0.8432918072208677,20502,3,29996,9381
29,11,vg giraffe,High,125,0.45,27526,39,27526,17687,0,45256,2,164,0.9999273467015403,0.608282506850526,0.9999559684734269,0.7564165979664743,0.8044864018351456,27526,2,45420,17726
29,11,SAFARI,High,125,0.45,30887,45,30887,14320,0,45256,6,160,0.9998057812449422,0.6825554671616724,0.9998679054202809,0.8112679755729201,0.8415091426428745,30887,6,45416,14365
29,11,vg giraffe,High,125,0.4,24381,34,24381,15624,0,40043,2,146,0.9999179756387647,0.6089312919903095,0.9999502376153865,0.7569153394803019,0.8048111678923097,24381,2,40189,15658
29,11,SAFARI,High,125,0.4,27336,39,27336,12664,0,40043,6,142,0.999780557384244,0.6827343340243263,0.9998507128461596,0.8113859990204952,0.8415929203539823,27336,6,40185,12703
29,11,vg giraffe,High,125,0.55,33662,57,33662,21616,0,55339,2,196,0.9999405893536122,0.6083310743652299,0.9999639879719826,0.7564579377296373,0.8045042932390505,33662,2,55535,21673
29,11,SAFARI,High,125,0.55,37769,65,37769,17501,0,55339,6,192,0.9998411647915287,0.6825517303695672,0.9998919639159479,0.811276984212222,0.8415109315246411,37769,6,55531,17566
29,11,vg giraffe,High,125,0.5,30656,47,30656,19675,0,50382,2,181,0.9999347641724835,0.6085195918853468,0.999960446949471,0.7566020040475837,0.8046025975055229,30656,2,50563,19722
29,11,SAFARI,High,125,0.5,34378,54,34378,15946,0,50382,6,177,0.9998255002326664,0.6824010480765413,0.999881340848413,0.8111653807130553,0.8414352654468363,34378,6,50559,16000
29,11,vg giraffe,High,125,0.65,39776,69,39776,25612,0,65463,4,239,0.9998994469582705,0.607666101410086,0.9999391227589566,0.7559318490644925,0.8041749578768402,39776,4,65702,25681
29,11,SAFARI,High,125,0.65,44651,79,44651,20727,0,65463,10,233,0.999776090996619,0.6821424752127351,0.9998478068973914,0.8109664178426779,0.8412967071506446,44651,10,65696,20806
29,11,vg giraffe,High,125,0.6,36730,63,36730,23562,0,60359,3,213,0.999918329567419,0.608565984591169,0.9999504746182418,0.7566331575477918,0.8046142396427686,36730,3,60572,23625
29,11,SAFARI,High,125,0.6,41225,73,41225,19057,0,60359,9,207,0.9997817335208808,0.6830420014911772,0.9998514238547256,0.8116036185020031,0.8417348879517076,41225,9,60566,19130
29,11,vg giraffe,High,125,0.75,45785,83,45785,29538,0,75414,6,273,0.9998689698849119,0.6071798000159139,0.9999207324323253,0.7555467544576185,0.803923255613869,45785,6,75687,29621
29,11,SAFARI,High,125,0.75,51443,94,51443,23869,0,75414,13,266,0.9997473569651741,0.6822136169535581,0.9998282536033715,0.8110072362094244,0.841322576588859,51443,13,75680,23963
29,11,vg giraffe,High,125,0.7,42822,75,42822,27585,0,70490,6,257,0.9998599047352199,0.6075593768621775,0.9999151979421367,0.7558379666401905,0.804113711190569,42822,6,70747,27660
29,11,SAFARI,High,125,0.7,48092,86,48092,22304,0,70490,12,251,0.9997505404955929,0.6823302403450526,0.9998303958842735,0.8110906852410908,0.8413849258328318,48092,12,70741,22390
29,11,vg giraffe,High,125,0.85,51769,93,51769,33418,0,85292,8,317,0.9998454912412847,0.607047373358349,0.9999065606129623,0.7554375186966007,0.8038643159329889,51769,8,85609,33511
29,11,SAFARI,High,125,0.85,58164,106,58164,27010,0,85292,17,308,0.9997078083910556,0.6820356472795497,0.999801441302545,0.8108684590237069,0.8412318531045015,58164,17,85600,27116
29,11,vg giraffe,High,125,0.8,48779,85,48779,31426,0,80300,6,295,0.9998770113764477,0.6075351849545398,0.9999255592362377,0.7558241332558591,0.8041096145837865,48779,6,80595,31511
29,11,SAFARI,High,125,0.8,54788,96,54788,25406,0,80300,14,287,0.9997445348709901,0.682376385602192,0.9998263048845548,0.8111213099221272,0.8414081583183646,54788,14,80587,25502
29,11,vg giraffe,High,125,0.95,57708,100,57708,37399,0,95219,8,351,0.999861390255735,0.6061319020660245,0.9999162987298332,0.7547327740104497,0.8034069764394476,57708,8,95570,37499
29,11,SAFARI,High,125,0.95,64874,113,64874,30220,0,95219,17,342,0.9997380222218798,0.6813994769292174,0.9998221348008957,0.8104286124748592,0.8409204077888723,64874,17,95561,30333
29,11,vg giraffe,High,125,0.9,54739,97,54739,35392,0,90239,8,332,0.9998538732715948,0.6066742031298489,0.9999116793075657,0.7551508880841525,0.8036746364908438,54739,8,90571,35489
29,11,SAFARI,High,125,0.9,61510,110,61510,28608,0,90239,17,323,0.9997236985388529,0.6817174269628054,0.9998123185285772,0.8106487430397681,0.8410736309987998,61510,17,90562,28718
29,11,vg giraffe,Mid,125,0.15,13149,28,13149,1781,0,14953,1,50,0.9999239543726236,0.8790613718411552,0.9999333511063716,0.9356055215596982,0.9395901475201922,13149,1,15003,1809
29,11,SAFARI,Mid,125,0.15,13248,29,13248,1681,0,14953,2,49,0.9998490566037735,0.8856799037304453,0.9998667022127433,0.9393079977311402,0.9428609572124691,13248,2,15002,1710
29,11,vg giraffe,Mid,125,0.1,8804,17,8804,1193,0,10010,0,29,1.0,0.8791691631715598,1.0,0.9356998618344138,0.9396599012616567,8804,0,10039,1210
29,11,SAFARI,Mid,125,0.1,8875,17,8875,1122,0,10010,1,28,0.9998873366381252,0.8862592370681046,0.9999003884849088,0.9396506087877183,0.943150650775445,8875,1,10038,1139
29,11,vg giraffe,Mid,125,0.25,21934,45,21934,3009,0,24982,4,85,0.9998176679733796,0.8777813350408196,0.9998404531131586,0.9348335677449602,0.9389120837411854,21934,4,25067,3054
29,11,SAFARI,Mid,125,0.25,22096,46,22096,2846,0,24982,5,84,0.999773765892946,0.8842644469345285,0.9998005663914483,0.9384782008537025,0.9421282886194291,22096,5,25066,2892
29,11,vg giraffe,Mid,125,0.2,17486,35,17486,2391,0,19907,3,71,0.999828463605695,0.8781639212535155,0.9998498573644963,0.9350552124274751,0.9391121249341989,17486,3,19978,2426
29,11,SAFARI,Mid,125,0.2,17616,36,17616,2260,0,19907,4,70,0.9997729852440409,0.8846926476496585,0.9997998098193284,0.9387189598209529,0.9423457749479859,17616,4,19977,2296
29,11,vg giraffe,Mid,125,0.35,30697,61,30697,4253,0,35005,5,124,0.9998371441599896,0.8767815829310788,0.9998576877099107,0.9342748010287157,0.9384275429467531,30697,5,35129,4314
