k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
10,10,giraffe,High,125,0.15,44505,93,44505,362,0,14956,9,51,0.9997978164173069,0.9898798932384342,0.9994006393180608,0.9948141359501084,0.9922635720955049,44505,9,15007,455
10,10,safari,High,125,0.15,44538,93,44538,329,0,14956,9,51,0.9997979661930096,0.9906138790035587,0.9994006393180608,0.9951847341548706,0.99281379218354,44538,9,15007,422
10,10,giraffe,High,125,0.1,29665,58,29665,231,0,10014,6,27,0.9997977823463988,0.9903518728717366,0.9994028068080024,0.9950524109014675,0.9926251843703907,29665,6,10041,289
10,10,safari,High,125,0.1,29683,58,29683,213,0,10014,6,27,0.9997979049479605,0.9909527942845697,0.9994028068080024,0.9953556997468269,0.993075173120672,29683,6,10041,271
10,10,giraffe,High,125,0.25,74262,158,74262,579,1,24985,17,91,0.9997576736672051,0.9901732023093641,0.9992826970590579,0.9949423562590853,0.9924570149760723,74262,18,25076,737
10,10,safari,High,125,0.25,74312,158,74312,529,1,24985,17,91,0.9997578366742903,0.9908398778650382,0.9992826970590579,0.9952788808603821,0.9929565504081205,74312,18,25076,687
10,10,giraffe,High,125,0.2,59407,125,59407,460,0,19910,12,73,0.9997980443965735,0.9902486998266435,0.9993998499624906,0.9950004605940826,0.9925362871466613,59407,12,19983,585
10,10,safari,High,125,0.2,59450,125,59450,417,0,19910,12,73,0.9997981904409539,0.9909654620616082,0.9993998499624906,0.9953622314865973,0.993073874504607,59450,12,19983,542
10,10,giraffe,High,125,0.35,103960,216,103960,768,3,35007,27,122,0.9997115107221848,0.9906235706662601,0.9991467334110754,0.9951467927670938,0.9927624676131133,103960,30,35129,984
10,10,safari,High,125,0.35,104019,216,104019,709,4,35006,27,122,0.9997020663142719,0.9911857752706206,0.9991182911914446,0.9954257060011292,0.9931764487555584,104019,31,35128,925
10,10,giraffe,High,125,0.3,88928,192,88928,679,1,29884,22,112,0.9997414306753156,0.9903005601398679,0.999233818581565,0.9949986013986014,0.9925386836702332,88928,23,29996,871
10,10,safari,High,125,0.3,88981,192,88981,626,1,29884,22,112,0.999741584647881,0.9908907671577635,0.999233818581565,0.9952964994994492,0.9929810212155102,88981,23,29996,818
10,10,giraffe,High,125,0.45,134068,279,134068,997,4,45251,37,148,0.9996942785346248,0.9905721716514955,0.9990977112676056,0.995112320144886,0.9927150632799363,134068,41,45399,1276
10,10,safari,High,125,0.45,134148,279,134148,917,5,45250,37,148,0.9996870109546165,0.9911632580683296,0.9990757042253521,0.9954068874427716,0.9931520488538809,134148,42,45398,1196
10,10,giraffe,High,125,0.4,118819,245,118819,879,4,40038,32,133,0.9996971099238569,0.9906288820523081,0.9991046335215261,0.9951423378755265,0.9927567905088979,118819,36,40171,1124
10,10,safari,High,125,0.4,118887,245,118887,811,5,40037,32,133,0.9996888769298039,0.9911958180135564,0.9990797622304574,0.9954242318947364,0.9931751482984702,118887,37,40170,1056
10,10,giraffe,High,125,0.55,163861,336,163861,1236,5,55333,47,177,0.9996827585365408,0.9904976637067574,0.9990641085634067,0.9950690155641787,0.9926514174528835,163861,52,55510,1572
10,10,safari,High,125,0.55,163952,336,163952,1145,6,55332,47,177,0.9996768391207586,0.9910477353369642,0.9990461106511644,0.9953435851358982,0.9930586664856671,163952,53,55509,1481
10,10,giraffe,High,125,0.5,149042,305,149042,1116,5,50376,44,165,0.9996713416638161,0.9905558177093372,0.9990314291361929,0.9950927044873379,0.9926884950734384,149042,49,50541,1421
10,10,safari,High,125,0.5,149125,305,149125,1033,6,50375,44,165,0.999664823194235,0.991107448342782,0.9990116623838703,0.995367743744118,0.9930963477292057,149125,50,50540,1338
10,10,giraffe,High,125,0.65,193830,402,193830,1461,5,65457,53,222,0.9997008582274303,0.9904799865094817,0.9991176962745486,0.9950690613761963,0.9926519527215698,193830,58,65679,1863
10,10,safari,High,125,0.65,193940,402,193940,1351,6,65456,53,222,0.9996958747210037,0.9910420914391419,0.9991024841413512,0.9953501739835563,0.9930688903339326,193940,59,65678,1753
10,10,giraffe,High,125,0.6,178830,376,178830,1355,5,60353,48,197,0.9997037169546575,0.9904132121554489,0.9991254558355197,0.9950367790253837,0.9926025443266823,178830,53,60550,1731
10,10,safari,High,125,0.6,178929,376,178929,1256,6,60352,48,197,0.9996982953688339,0.9909615033146693,0.9991089550022276,0.9953107269207663,0.9930089068020103,178929,54,60549,1632
10,10,giraffe,High,125,0.75,223464,454,223464,1649,6,75407,60,260,0.9997047376191115,0.9906768277274601,0.9991285172910092,0.995170308418894,0.9928011948224361,223464,66,75667,2103
10,10,safari,High,125,0.75,223587,454,223587,1526,7,75406,60,260,0.9997004301286809,0.9912221202569524,0.9991153130075396,0.99544322282351,0.993206106870229,223587,67,75666,1980
