fragment_len_dist,k,w,damage_level,tool,sub_rate,RMSE
Vindija,10,10,High,SAFARI,0.1,0.00864910449699853
Vindija,10,10,High,SAFARI,0.15,0.007711874259867052
Vindija,10,10,High,SAFARI,0.15,0.0075261588875069636
Vindija,10,10,High,SAFARI,0.1,0.007283736884319755
Vindija,10,10,High,SAFARI,0.2,0.007596757084440704
Vindija,10,10,High,SAFARI,0.25,0.008887313474835921
Vindija,10,10,High,SAFARI,0.2,0.007500733884094256
Vindija,10,10,High,SAFARI,0.35,0.008084682937505954
Vindija,10,10,High,SAFARI,0.25,0.007042481380877039
Vindija,10,10,High,SAFARI,0.35,0.008361436108707633
Vindija,10,10,High,SAFARI,0.45,0.007522648868583458
Vindija,10,10,High,SAFARI,0.45,0.008117869585057386
Vindija,10,10,High,SAFARI,0.3,0.008781933636733992
Vindija,10,10,High,SAFARI,0.3,0.008191631400398818
Vindija,10,10,High,SAFARI,0.55,0.008042793855371398
Vindija,10,10,High,SAFARI,0.55,0.008520548292216872
Vindija,10,10,High,SAFARI,0.5,0.007690833621916424
Vindija,10,10,High,SAFARI,0.5,0.008163032426739459
Vindija,10,10,High,SAFARI,0.65,0.00837315480568704
Vindija,10,10,High,SAFARI,0.65,0.008402133669491328
Vindija,10,10,High,SAFARI,0.4,0.008225021884469374
Vindija,10,10,High,SAFARI,0.6,0.008181345989505633
Vindija,10,10,High,SAFARI,0.4,0.008085895782162915
Vindija,10,10,High,SAFARI,0.6,0.008236360519064219
Vindija,10,10,High,SAFARI,0.75,0.00861872176137507
Vindija,10,10,High,SAFARI,0.75,0.00781716389747585
Vindija,10,10,High,SAFARI,0.7,0.008490365445609514
Vindija,10,10,High,SAFARI,0.7,0.00810886284259389
Vindija,10,10,High,SAFARI,0.85,0.008609675255199815
Vindija,10,10,High,SAFARI,0.85,0.007658036784973015
Vindija,10,10,High,SAFARI,0.8,0.008601565869072911
Vindija,10,10,High,SAFARI,0.8,0.007712274852467335
Vindija,10,10,High,SAFARI,0.95,0.008612938952529505
Vindija,10,10,High,SAFARI,0.95,0.007615937145223811
Vindija,10,10,Mid,SAFARI,0.15,0.001105249612531034
Vindija,10,10,Mid,SAFARI,0.15,0.0032792845231848994
Vindija,10,10,Mid,SAFARI,0.1,0.0013441716356180095
Vindija,10,10,Mid,SAFARI,0.1,0.0037520558900421496
Vindija,10,10,Mid,SAFARI,0.25,0.0012908692218811348
Vindija,10,10,Mid,SAFARI,0.25,0.0019888458753759726
Vindija,10,10,Mid,SAFARI,0.2,0.0013588926742020544
Vindija,10,10,Mid,SAFARI,0.2,0.0022293940997499726
Vindija,10,10,Mid,SAFARI,0.35,0.0008903125271498779
Vindija,10,10,Mid,SAFARI,0.35,0.0016344792430618412
Vindija,10,10,High,SAFARI,0.9,0.008496187886340555
Vindija,10,10,High,SAFARI,0.9,0.007596389655619301
Vindija,10,10,Mid,SAFARI,0.3,0.0010352162121991717
Vindija,10,10,Mid,SAFARI,0.3,0.001168734218716985
Vindija,10,10,Mid,SAFARI,0.45,0.0005490031220311954
Vindija,10,10,Mid,SAFARI,0.45,0.000936224176145864
Vindija,10,10,Mid,SAFARI,0.5,0.0004575718107576098
Vindija,10,10,Mid,SAFARI,0.5,0.0009054622233975343
Vindija,10,10,Mid,SAFARI,0.65,0.0005162622686193526
Vindija,10,10,Mid,SAFARI,0.65,0.0009691421629461799
Vindija,10,10,Mid,SAFARI,0.4,0.0007623452865991867
Vindija,10,10,Mid,SAFARI,0.4,0.0010730338279849323
Vindija,10,10,Mid,SAFARI,0.55,0.00047427951463245485
Vindija,10,10,Mid,SAFARI,0.55,0.0009252269581027147
Vindija,10,10,Mid,SAFARI,0.6,0.000745949407131609
Vindija,10,10,Mid,SAFARI,0.6,0.0009871399475251715
Vindija,10,10,Mid,SAFARI,0.75,0.00045634069947791945
Vindija,10,10,Mid,SAFARI,0.75,0.0010029059517222942
Vindija,10,10,Mid,SAFARI,0.7,0.00046776427396713285
Vindija,10,10,Mid,SAFARI,0.7,0.0012154035231148562
Vindija,10,10,Mid,SAFARI,0.85,0.0005066063402682591
Vindija,10,10,Mid,SAFARI,0.85,0.0007959031926057381
Vindija,10,10,Mid,SAFARI,0.8,0.0005244785925087902
Vindija,10,10,Mid,SAFARI,0.8,0.0009450745251037094
Vindija,10,10,Mid,SAFARI,0.95,0.0005633117431760095
Vindija,10,10,Mid,SAFARI,0.95,0.000772631779051316
Vindija,10,10,Mid,SAFARI,0.9,0.0004820981165696441
Vindija,10,10,Mid,SAFARI,0.9,0.0007532589793689832
Vindija,10,10,None,SAFARI,0.15,7.73110064694672e-05
Vindija,10,10,None,SAFARI,0.15,0.0002334240528231827
Vindija,10,10,None,SAFARI,0.1,0.00011551065357619617
Vindija,10,10,None,SAFARI,0.1,0.00031034845958245066
Vindija,10,10,None,SAFARI,0.25,0.00010714248796820988
Vindija,10,10,None,SAFARI,0.25,0.00018459840733018256
Vindija,10,10,None,SAFARI,0.2,8.872634562065543e-05
Vindija,10,10,None,SAFARI,0.2,0.0002107345410995027
Vindija,10,10,None,SAFARI,0.35,9.381958851866703e-05
Vindija,10,10,None,SAFARI,0.35,0.00013890534212380746
Vindija,10,10,None,SAFARI,0.3,0.00010955499096221039
Vindija,10,10,None,SAFARI,0.3,0.00015435429027300796
Vindija,10,10,None,SAFARI,0.45,9.538197066429273e-05
Vindija,10,10,None,SAFARI,0.45,0.00013342529492149532
Vindija,10,10,None,SAFARI,0.4,9.80223559438662e-05
