Damage,Tool,Metric,Value
ddhigh,giraffe,Precision,0.99770
ddhigh,giraffe,Recall,0.32971
ddhigh,giraffe,Correct mitochondrial mappings,19056
ddhigh,giraffe,Incorrect mitochondrial mappings,44
ddhigh,giraffe,Mito reads mapped,1905957
ddhigh,giraffe,Mito reads unmapped,38740
ddhigh,giraffe,Bacteria reads mapped,376
ddhigh,giraffe,Bacteria reads unmapped,7588144
ddhigh,giraffe,NuMT reads mapped,5305
ddhigh,giraffe,NuMT reads unmapped,24385
ddhigh,giraffe,Precision,1.00000
ddhigh,giraffe,Recall,0.55552
ddhigh,safari,Precision,0.99770
ddhigh,safari,Recall,0.49742
ddhigh,safari,Correct mitochondrial mappings,19117
ddhigh,safari,Incorrect mitochondrial mappings,44
ddhigh,safari,Mito reads mapped,1925357
ddhigh,safari,Mito reads unmapped,19315
ddhigh,safari,Bacteria reads mapped,500
ddhigh,safari,Bacteria reads unmapped,7588020
ddhigh,safari,NuMT reads mapped,5831
ddhigh,safari,NuMT reads unmapped,23859
ddhigh,safari,Precision,1.00000
ddhigh,safari,Recall,0.55617
ddmid,giraffe,Precision,0.99807
ddmid,giraffe,Recall,0.97356
ddmid,giraffe,Correct mitochondrial mappings,19148
ddmid,giraffe,Incorrect mitochondrial mappings,37
ddmid,giraffe,Mito reads mapped,1944574
ddmid,giraffe,Mito reads unmapped,520
ddmid,giraffe,Bacteria reads mapped,720
ddmid,giraffe,Bacteria reads unmapped,7586784
ddmid,giraffe,NuMT reads mapped,7295
ddmid,giraffe,NuMT reads unmapped,22747
ddmid,giraffe,Precision,1.00000
ddmid,giraffe,Recall,0.55685
ddmid,safari,Precision,0.99807
ddmid,safari,Recall,0.98777
ddmid,safari,Correct mitochondrial mappings,19148
ddmid,safari,Incorrect mitochondrial mappings,37
ddmid,safari,Mito reads mapped,1944857
ddmid,safari,Mito reads unmapped,237
ddmid,safari,Bacteria reads mapped,1001
ddmid,safari,Bacteria reads unmapped,7586503
ddmid,safari,NuMT reads mapped,8499
ddmid,safari,NuMT reads unmapped,21543
ddmid,safari,Precision,1.00000
ddmid,safari,Recall,0.55691
dnone,giraffe,Precision,0.99812
dnone,giraffe,Recall,0.99901
dnone,giraffe,Correct mitochondrial mappings,19151
dnone,giraffe,Incorrect mitochondrial mappings,36
dnone,giraffe,Mito reads mapped,1945095
dnone,giraffe,Mito reads unmapped,19
dnone,giraffe,Bacteria reads mapped,480
dnone,giraffe,Bacteria reads unmapped,7587816
dnone,giraffe,NuMT reads mapped,7305
dnone,giraffe,NuMT reads unmapped,22459
dnone,giraffe,Precision,1.00000
dnone,giraffe,Recall,0.55686
dnone,safari,Precision,0.99812
dnone,safari,Recall,0.99823
dnone,safari,Correct mitochondrial mappings,19151
dnone,safari,Incorrect mitochondrial mappings,36
dnone,safari,Mito reads mapped,1945080
dnone,safari,Mito reads unmapped,34
dnone,safari,Bacteria reads mapped,652
dnone,safari,Bacteria reads unmapped,7587644
dnone,safari,NuMT reads mapped,8424
dnone,safari,NuMT reads unmapped,21340
dnone,safari,Precision,1.00000
dnone,safari,Recall,0.55690
dsingle,giraffe,Precision,0.99812
dsingle,giraffe,Recall,0.99568
dsingle,giraffe,Correct mitochondrial mappings,19151
dsingle,giraffe,Incorrect mitochondrial mappings,36
dsingle,giraffe,Mito reads mapped,1945133
dsingle,giraffe,Mito reads unmapped,83
dsingle,giraffe,Bacteria reads mapped,640
dsingle,giraffe,Bacteria reads unmapped,7587824
dsingle,giraffe,NuMT reads mapped,7284
dsingle,giraffe,NuMT reads unmapped,22914
dsingle,giraffe,Precision,1.00000
dsingle,giraffe,Recall,0.55686
dsingle,safari,Precision,0.99812
dsingle,safari,Recall,0.99807
dsingle,safari,Correct mitochondrial mappings,19151
dsingle,safari,Incorrect mitochondrial mappings,36
dsingle,safari,Mito reads mapped,1945179
dsingle,safari,Mito reads unmapped,37
dsingle,safari,Bacteria reads mapped,918
dsingle,safari,Bacteria reads unmapped,7587546
dsingle,safari,NuMT reads mapped,8623
dsingle,safari,NuMT reads unmapped,21575
dsingle,safari,Precision,1.00000
dsingle,safari,Recall,0.55691
