Damage,Tool,Metric,Value
ddhigh,aln,Precision,0.99939
ddhigh,aln,Recall,0.06588
ddhigh,aln,Correct mitochondrial mappings,16253
ddhigh,aln,Incorrect mitochondrial mappings,10
ddhigh,aln,Mito reads mapped,1717019
ddhigh,aln,Mito reads unmapped,230461
ddhigh,aln,Bacteria reads mapped,0
ddhigh,aln,Bacteria reads unmapped,7588520
ddhigh,aln,NuMT reads mapped,348
ddhigh,aln,NuMT reads unmapped,29342
ddhigh,aln,Precision,1.00000
ddhigh,aln,Recall,0.54931
ddhigh,aln_anc,Precision,0.99944
ddhigh,aln_anc,Recall,0.14620
ddhigh,aln_anc,Correct mitochondrial mappings,17837
ddhigh,aln_anc,Incorrect mitochondrial mappings,10
ddhigh,aln_anc,Mito reads mapped,1843243
ddhigh,aln_anc,Mito reads unmapped,104163
ddhigh,aln_anc,Bacteria reads mapped,0
ddhigh,aln_anc,Bacteria reads unmapped,7588520
ddhigh,aln_anc,NuMT reads mapped,548
ddhigh,aln_anc,NuMT reads unmapped,29142
ddhigh,aln_anc,Precision,1.00000
ddhigh,aln_anc,Recall,0.55333
ddhigh,bb,Precision,0.99832
ddhigh,bb,Recall,0.62011
ddhigh,bb,Correct mitochondrial mappings,19022
ddhigh,bb,Incorrect mitochondrial mappings,32
ddhigh,bb,Mito reads mapped,1933671
ddhigh,bb,Mito reads unmapped,11653
ddhigh,bb,Bacteria reads mapped,0
ddhigh,bb,Bacteria reads unmapped,7588520
ddhigh,bb,NuMT reads mapped,2480
ddhigh,bb,NuMT reads unmapped,27210
ddhigh,bb,Precision,1.00000
ddhigh,bb,Recall,0.55631
ddhigh,bowtie2,Precision,0.99931
ddhigh,bowtie2,Recall,0.03963
ddhigh,bowtie2,Correct mitochondrial mappings,15824
ddhigh,bowtie2,Incorrect mitochondrial mappings,11
ddhigh,bowtie2,Mito reads mapped,1564077
ddhigh,bowtie2,Mito reads unmapped,383424
ddhigh,bowtie2,Bacteria reads mapped,0
ddhigh,bowtie2,Bacteria reads unmapped,7588453
ddhigh,bowtie2,NuMT reads mapped,238
ddhigh,bowtie2,NuMT reads unmapped,29452
ddhigh,bowtie2,Precision,1.00000
ddhigh,bowtie2,Recall,0.54452
ddhigh,mem,Precision,0.99772
ddhigh,mem,Recall,0.10189
ddhigh,mem,Correct mitochondrial mappings,17921
ddhigh,mem,Incorrect mitochondrial mappings,41
ddhigh,mem,Mito reads mapped,1788175
ddhigh,mem,Mito reads unmapped,157958
ddhigh,mem,Bacteria reads mapped,0
ddhigh,mem,Bacteria reads unmapped,7588520
ddhigh,mem,NuMT reads mapped,965
