k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
,,BWA ALN (anc),High,125,0.15,13859,0,13859,1089,0,14956,1,63,0.9999278499278499,0.9271474444741772,0.9999334221038615,0.9621632879755624,0.9636278697277095,13859,1,15019,1089
,,BWA ALN,High,125,0.15,12660,0,12660,2288,0,14956,1,63,0.999921017297212,0.846936044955847,0.9999334221038615,0.9170922525263502,0.9236185264281901,12660,1,15019,2288
,,BBMAP,High,125,0.15,14716,18,14716,214,0,14956,6,58,0.9995924466784404,0.9844795290339845,0.9996005326231691,0.9919784293899563,0.9920581954084357,14716,6,15014,232
,,Bowtie2,High,125,0.15,11503,2,11503,3443,0,14956,0,64,1.0,0.7695343858710195,1.0,0.8697591773467922,0.885044046983449,11503,0,15020,3445
,,BWA-MEM,High,125,0.15,13172,16,13172,1761,0,14956,2,62,0.9998481858205557,0.881129172519901,0.999866844207723,0.9367421683319703,0.9406386599486136,13172,2,15018,1777
,,SHRiMP,High,125,0.15,14895,8,14895,45,0,14956,12,52,0.9991950090561481,0.9964543751672464,0.9992010652463382,0.9978228102495393,0.9978310197544047,14895,12,15008,53
,,BWA ALN (anc),High,125,0.1,9276,0,9276,732,0,10014,1,38,0.9998922065322842,0.9268585131894485,0.9999005272058092,0.9619911848586984,0.9634614426000698,9276,1,10052,732
,,BWA ALN,High,125,0.1,8476,0,8476,1532,0,10014,1,38,0.9998820337383508,0.8469224620303757,0.9999005272058092,0.9170678928861238,0.9235830716315239,8476,1,10052,1532
,,BBMAP,High,125,0.1,9856,10,9856,142,0,10014,4,35,0.9995943204868154,0.9848121502797762,0.9996021088232369,0.9921481779746326,0.9922237176611336,9856,4,10049,152
,,Bowtie2,High,125,0.1,7683,2,7683,2323,0,10013,0,39,1.0,0.7676858513189448,1.0,0.8685772426657623,0.884097706879362,7683,0,10052,2325
,,BWA-MEM,High,125,0.1,8793,9,8793,1207,0,10014,1,38,0.999886286104162,0.8785093415925667,0.9999005272058092,0.9352762856990906,0.93933805203868,8793,1,10052,1216
,,SHRiMP,High,125,0.1,9979,5,9979,24,0,10014,9,30,0.9990989187024429,0.9971023181454837,0.999104744852283,0.9980996199239848,0.9981057773789941,9979,9,10044,29
,,BWA ALN (anc),High,125,0.25,23205,0,23205,1768,0,24986,3,118,0.9998707342295761,0.9292035398230089,0.9998805114111602,0.9632427720470724,0.9646365814696486,23205,3,25104,1768
