k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
10,2,vg giraffe,High,125,0.15,44778,72,44778,46,4,14952,19,39,0.9994866186022633,0.997371703492516,0.9984680964433196,0.9984280410716078,0.9976464697045568,44778,23,14991,118
10,2,SAFARI,High,125,0.15,44790,73,44790,33,7,14949,19,39,0.9994198500535523,0.9976389878831077,0.9982682829359265,0.9985286249331192,0.9977966950425639,44790,26,14988,106
10,2,vg giraffe,High,125,0.1,29850,45,29850,28,4,10010,12,25,0.9994642737561106,0.9975604050396016,0.9984081185951647,0.9985114318687384,0.9977735528093261,29850,16,10035,73
10,2,SAFARI,High,125,0.1,29858,46,29858,19,6,10008,12,25,0.9993975097067881,0.9978277579119741,0.9982091334195602,0.99861201692336,0.9979236503727423,29858,18,10033,65
10,2,vg giraffe,High,125,0.25,74682,127,74682,71,8,24978,39,75,0.9993710607662353,0.9973557692307692,0.9981274900398407,0.9983623979840784,0.9975495099019804,74682,47,25053,198
10,2,SAFARI,High,125,0.25,74699,128,74699,53,14,24972,39,75,0.999290988869863,0.9975827991452991,0.9978884462151394,0.9984361633875106,0.9976595319063812,74699,53,25047,181
10,2,vg giraffe,High,125,0.2,59747,93,59747,60,7,19903,28,54,0.999414539493493,0.9974457429048414,0.998249299719888,0.9984291706355176,0.9976468232113354,59747,35,19957,153
10,2,SAFARI,High,125,0.2,59761,94,59761,45,11,19899,28,54,0.9993478260869565,0.9976794657762939,0.9980492196878752,0.9985129490392648,0.9977719921894558,59761,39,19953,139
10,2,vg giraffe,High,125,0.35,104503,179,104503,104,15,34995,44,105,0.9994357414739581,0.9972992575344034,0.9983219090417816,0.9983663564973155,0.9975561827860946,104503,59,35100,283
10,2,SAFARI,High,125,0.35,104535,180,104535,71,21,34989,44,105,0.999378585086042,0.9976046418414674,0.9981512557239967,0.9984908255566275,0.9977419700596662,104535,65,35094,251
10,2,vg giraffe,High,125,0.3,89420,147,89420,89,10,29875,42,93,0.9994188125894135,0.9973677166056929,0.9982678214523651,0.9983922111562681,0.9975935024566329,89420,52,29968,236
10,2,SAFARI,High,125,0.3,89449,148,89449,59,16,29869,42,93,0.9993520059883585,0.9976911751583831,0.9980679546968687,0.9985208999626038,0.9977856880243323,89449,58,29962,207
10,2,vg giraffe,High,125,0.45,134780,226,134780,139,20,45235,53,142,0.9994586698108311,0.9972991971586074,0.9983938393839384,0.9983777657612278,0.9975746836844874,134780,73,45377,365
10,2,SAFARI,High,125,0.45,134822,227,134822,96,29,45226,53,142,0.9993921603510645,0.9976099744718635,0.9981958195819582,0.9985002721728278,0.9977574129959301,134822,82,45368,323
10,2,vg giraffe,High,125,0.4,119455,197,119455,121,16,40026,48,119,0.9994645202854776,0.9973449775825938,0.9984083165460469,0.9984036240242047,0.9976122313760298,119455,64,40145,318
10,2,SAFARI,High,125,0.4,119491,198,119491,84,22,40020,48,119,0.9994145248032386,0.9976455461581492,0.9982590962222389,0.9985292520076546,0.9977997524721531,119491,70,40139,282
10,2,vg giraffe,High,125,0.55,164763,271,164763,170,25,55313,59,167,0.999490436586653,0.9973305731096099,0.998488229789072,0.9984093367388676,0.9976219379620235,164763,84,55480,441
10,2,SAFARI,High,125,0.55,164815,272,164815,117,36,55302,59,167,0.9994239282032624,0.9976453354640323,0.9982902598804981,0.9985338398250302,0.9978076532830845,164815,95,55469,389
10,2,vg giraffe,High,125,0.5,149867,244,149867,151,23,50358,57,151,0.999466478155615,0.99737125820234,0.9984186285556148,0.9984177689542952,0.997635062807753,149867,80,50509,395
10,2,SAFARI,High,125,0.5,149914,245,149914,103,33,50348,57,151,0.9994000159995734,0.9976840452010488,0.9982209571250668,0.9985412933865306,0.9978192789679912,149914,90,50499,348
10,2,vg giraffe,High,125,0.65,194895,320,194895,206,28,65434,70,201,0.9994974178560256,0.9973083752513804,0.9985091202288044,0.9984016966604682,0.9976106052367568,194895,98,65635,526
10,2,SAFARI,High,125,0.65,194959,321,194959,141,40,65422,70,201,0.9994360969708155,0.9976358733196534,0.9983265635221273,0.99853517375605,0.9978097214670271,194959,110,65623,462
10,2,vg giraffe,High,125,0.6,179824,297,179824,185,26,60332,64,185,0.9994997609969207,0.9973267667188003,0.9985150230171432,0.9984120815057466,0.9976256989037536,179824,90,60517,482
10,2,SAFARI,High,125,0.6,179879,298,179879,129,37,60321,64,185,0.9994388265362818,0.9976318037114683,0.9983335258303496,0.9985344975935785,0.9978083374496187,179879,101,60506,427
10,2,vg giraffe,High,125,0.75,224655,369,224655,236,29,75384,75,232,0.9995372821555533,0.9973142146852526,0.9986265187533017,0.9984245109650927,0.9976443617516114,224655,104,75616,605
10,2,SAFARI,High,125,0.75,224733,370,224733,157,41,75372,75,232,0.9994840982170257,0.9976604812216994,0.9984680401479133,0.9985714571359381,0.9978636454249452,224733,116,75604,527
10,2,vg giraffe,High,125,0.7,209844,347,209844,226,29,70460,73,222,0.9995141607842016,0.9972768359970915,0.9985589963833634,0.9983942449739868,0.9975995817938058,209844,102,70682,573
10,2,SAFARI,High,125,0.7,209919,348,209919,150,41,70448,73,222,0.9994572281498622,0.9976332710760062,0.9983894665461122,0.9985444166963967,0.997823620826384,209919,114,70670,498
10,2,vg giraffe,High,125,0.85,254591,424,254591,268,34,85253,86,258,0.9995288778262423,0.9972892828743003,0.9985986383435905,0.9984078244057774,0.9976181676317194,254591,120,85511,692
